timestamp,edificio,piso,temp_c,humedad_pct,energia_kw
2024-05-01T06:00:00,A,1,26.77,55.01,19.12
2024-05-01T06:01:00,A,1,26.8,53.14,18.29
2024-05-01T06:02:00,A,1,26.21,54.61,17.84
2024-05-01T06:03:00,A,1,26.0,53.35,17.68
2024-05-01T06:04:00,A,1,25.91,55.57,17.76
2024-05-01T06:05:00,A,1,26.24,54.6,18.5
2024-05-01T06:06:00,A,1,26.09,54.58,17.78
2024-05-01T06:07:00,A,1,26.88,55.23,17.72
2024-05-01T06:08:00,A,1,26.74,54.29,18.16
2024-05-01T06:09:00,A,1,25.87,51.35,18.33
2024-05-01T06:10:00,A,1,26.38,53.89,19.24
2024-05-01T06:11:00,A,1,26.33,54.18,18.31
2024-05-01T06:12:00,A,1,27.19,55.85,17.44
2024-05-01T06:13:00,A,1,26.0,54.72,17.78
2024-05-01T06:14:00,A,1,26.69,55.27,16.99
2024-05-01T06:15:00,A,1,26.4,54.85,17.3
2024-05-01T06:16:00,A,1,26.44,53.44,17.55
2024-05-01T06:17:00,A,1,26.5,53.41,17.92
2024-05-01T06:18:00,A,1,26.89,52.58,17.22
2024-05-01T06:19:00,A,1,26.26,54.53,18.18
2024-05-01T06:20:00,A,1,26.84,54.2,18.78
2024-05-01T06:21:00,A,1,26.0,55.52,18.19
2024-05-01T06:22:00,A,1,25.96,54.95,17.29
2024-05-01T06:23:00,A,1,27.56,55.38,17.61
2024-05-01T06:24:00,A,1,26.45,54.36,18.65
2024-05-01T06:25:00,A,1,27.12,55.18,17.83
2024-05-01T06:26:00,A,1,26.48,54.28,17.28
2024-05-01T06:27:00,A,1,26.11,57.15,17.53
2024-05-01T06:28:00,A,1,26.09,55.12,17.94
2024-05-01T06:29:00,A,1,26.01,54.58,17.75
2024-05-01T06:30:00,A,1,26.29,53.99,19.03
2024-05-01T06:31:00,A,1,27.6,53.74,17.58
2024-05-01T06:32:00,A,1,26.13,55.49,17.33
2024-05-01T06:33:00,A,1,26.8,55.31,17.6
2024-05-01T06:34:00,A,1,26.44,54.53,17.78
2024-05-01T06:35:00,A,1,26.6,54.67,17.23
2024-05-01T06:36:00,A,1,26.26,55.73,18.46
2024-05-01T06:37:00,A,1,25.69,51.43,17.71
2024-05-01T06:38:00,A,1,26.31,54.76,17.49
2024-05-01T06:39:00,A,1,26.24,55.56,17.11
2024-05-01T06:40:00,A,1,26.27,54.39,18.62
2024-05-01T06:41:00,A,1,25.83,53.21,16.8
2024-05-01T06:42:00,A,1,27.02,53.98,17.33
2024-05-01T06:43:00,A,1,26.26,54.68,18.14
2024-05-01T06:44:00,A,1,26.09,55.53,17.75
2024-05-01T06:45:00,A,1,26.9,53.19,18.06
2024-05-01T06:46:00,A,1,26.13,54.99,17.27
2024-05-01T06:47:00,A,1,26.22,53.15,18.17
2024-05-01T06:48:00,A,1,26.27,54.49,19.11
2024-05-01T06:49:00,A,1,27.01,53.98,17.63
2024-05-01T06:50:00,A,1,25.9,54.95,18.3
2024-05-01T06:51:00,A,1,26.02,54.03,17.57
2024-05-01T06:52:00,A,1,27.1,52.78,18.61
2024-05-01T06:53:00,A,1,26.29,55.68,17.63
2024-05-01T06:54:00,A,1,27.02,54.54,18.73
2024-05-01T06:55:00,A,1,25.8,53.91,17.15
2024-05-01T06:56:00,A,1,26.75,53.99,17.55
2024-05-01T06:57:00,A,1,26.76,51.27,17.36
2024-05-01T06:58:00,A,1,26.51,54.3,17.7
2024-05-01T06:59:00,A,1,25.99,52.09,18.11
2024-05-01T07:00:00,A,1,25.78,54.13,17.82
2024-05-01T07:01:00,A,1,25.82,52.55,18.27
2024-05-01T07:02:00,A,1,25.98,51.56,17.47
2024-05-01T07:03:00,A,1,26.32,52.99,18.49
2024-05-01T07:04:00,A,1,26.42,53.1,17.46
2024-05-01T07:05:00,A,1,26.18,53.33,18.82
2024-05-01T07:06:00,A,1,26.88,54.48,17.56
2024-05-01T07:07:00,A,1,26.05,56.98,16.91
2024-05-01T07:08:00,A,1,25.99,53.48,17.19
2024-05-01T07:09:00,A,1,26.13,55.45,18.56
2024-05-01T07:10:00,A,1,26.09,52.22,17.19
2024-05-01T07:11:00,A,1,26.11,54.91,17.49
2024-05-01T07:12:00,A,1,25.96,52.67,18.61
2024-05-01T07:13:00,A,1,26.41,54.36,17.43
2024-05-01T07:14:00,A,1,26.7,53.26,18.57
2024-05-01T07:15:00,A,1,26.76,52.78,18.46
2024-05-01T07:16:00,A,1,26.5,54.14,17.34
2024-05-01T07:17:00,A,1,26.16,54.09,17.43
2024-05-01T07:18:00,A,1,26.3,53.88,18.36
2024-05-01T07:19:00,A,1,26.27,53.55,18.4
2024-05-01T07:20:00,A,1,26.12,51.21,17.49
2024-05-01T07:21:00,A,1,26.69,53.21,17.52
2024-05-01T07:22:00,A,1,26.15,53.41,17.78
2024-05-01T07:23:00,A,1,26.6,54.08,17.54
2024-05-01T07:24:00,A,1,25.81,53.14,17.54
2024-05-01T07:25:00,A,1,26.06,52.62,16.56
2024-05-01T07:26:00,A,1,26.14,52.35,17.86
2024-05-01T07:27:00,A,1,27.23,54.11,18.95
2024-05-01T07:28:00,A,1,26.22,52.51,18.7
2024-05-01T07:29:00,A,1,26.66,52.07,17.44
2024-05-01T07:30:00,A,1,26.47,54.27,17.54
2024-05-01T07:31:00,A,1,26.21,54.59,17.9
2024-05-01T07:32:00,A,1,26.76,52.12,17.65
2024-05-01T07:33:00,A,1,26.14,52.95,18.39
2024-05-01T07:34:00,A,1,25.9,50.75,17.45
2024-05-01T07:35:00,A,1,26.2,54.48,18.36
2024-05-01T07:36:00,A,1,26.24,53.0,17.92
2024-05-01T07:37:00,A,1,25.7,53.76,16.99
2024-05-01T07:38:00,A,1,25.63,52.73,17.99
2024-05-01T07:39:00,A,1,26.71,52.15,17.81
2024-05-01T07:40:00,A,1,25.93,52.69,17.78
2024-05-01T07:41:00,A,1,26.54,52.36,17.35
2024-05-01T07:42:00,A,1,25.05,53.92,18.3
2024-05-01T07:43:00,A,1,26.62,52.49,17.82
2024-05-01T07:44:00,A,1,26.66,53.46,18.13
2024-05-01T07:45:00,A,1,25.86,52.86,19.99
2024-05-01T07:46:00,A,1,26.5,52.08,17.34
2024-05-01T07:47:00,A,1,25.94,53.38,17.69
2024-05-01T07:48:00,A,1,25.91,52.11,17.41
2024-05-01T07:49:00,A,1,26.34,53.73,16.95
2024-05-01T07:50:00,A,1,25.91,52.87,17.33
2024-05-01T07:51:00,A,1,26.29,51.96,18.08
2024-05-01T07:52:00,A,1,26.1,54.2,17.35
2024-05-01T07:53:00,A,1,26.7,53.26,17.59
2024-05-01T07:54:00,A,1,26.1,54.61,18.24
2024-05-01T07:55:00,A,1,26.29,51.49,18.09
2024-05-01T07:56:00,A,1,26.21,51.61,18.79
2024-05-01T07:57:00,A,1,25.78,52.85,17.6
2024-05-01T07:58:00,A,1,25.95,52.25,16.12
2024-05-01T07:59:00,A,1,26.37,51.77,17.5
2024-05-01T08:00:00,A,1,25.37,52.62,17.14
2024-05-01T08:01:00,A,1,26.09,55.75,16.59
2024-05-01T08:02:00,A,1,25.53,52.7,17.15
2024-05-01T08:03:00,A,1,25.76,50.68,18.09
2024-05-01T08:04:00,A,1,25.71,51.46,17.06
2024-05-01T08:05:00,A,1,25.16,51.65,17.5
2024-05-01T08:06:00,A,1,25.38,54.13,17.48
2024-05-01T08:07:00,A,1,26.29,51.12,16.64
2024-05-01T08:08:00,A,1,25.62,51.2,17.96
2024-05-01T08:09:00,A,1,26.11,51.79,17.63
2024-05-01T08:10:00,A,1,26.27,51.36,16.97
2024-05-01T08:11:00,A,1,26.44,51.78,16.84
2024-05-01T08:12:00,A,1,25.96,52.51,17.12
2024-05-01T08:13:00,A,1,26.33,53.13,18.14
2024-05-01T08:14:00,A,1,25.82,54.1,16.5
2024-05-01T08:15:00,A,1,26.01,53.31,17.09
2024-05-01T08:16:00,A,1,26.58,50.6,17.76
2024-05-01T08:17:00,A,1,25.94,50.92,17.48
2024-05-01T08:18:00,A,1,25.36,50.68,17.63
2024-05-01T08:19:00,A,1,26.39,53.32,16.85
2024-05-01T08:20:00,A,1,25.71,50.62,17.27
2024-05-01T08:21:00,A,1,25.42,52.16,17.07
2024-05-01T08:22:00,A,1,25.56,53.86,17.32
2024-05-01T08:23:00,A,1,26.99,51.96,17.05
2024-05-01T08:24:00,A,1,25.11,51.9,17.95
2024-05-01T08:25:00,A,1,26.22,52.82,16.67
2024-05-01T08:26:00,A,1,26.53,51.4,18.13
2024-05-01T08:27:00,A,1,26.87,54.22,17.98
2024-05-01T08:28:00,A,1,26.6,52.08,15.96
2024-05-01T08:29:00,A,1,25.69,52.46,16.62
2024-05-01T08:30:00,A,1,25.85,51.28,17.15
2024-05-01T08:31:00,A,1,25.99,53.29,17.77
2024-05-01T08:32:00,A,1,26.02,52.79,17.3
2024-05-01T08:33:00,A,1,26.34,50.54,16.49
2024-05-01T08:34:00,A,1,25.78,52.95,16.35
2024-05-01T08:35:00,A,1,25.49,50.95,17.34
2024-05-01T08:36:00,A,1,25.79,52.82,16.2
2024-05-01T08:37:00,A,1,25.63,52.51,17.97
2024-05-01T08:38:00,A,1,25.16,52.53,17.77
2024-05-01T08:39:00,A,1,25.61,54.23,16.23
2024-05-01T08:40:00,A,1,25.21,53.33,16.88
2024-05-01T08:41:00,A,1,25.64,52.28,16.54
2024-05-01T08:42:00,A,1,25.54,50.16,17.29
2024-05-01T08:43:00,A,1,26.33,52.09,17.1
2024-05-01T08:44:00,A,1,26.25,52.8,16.47
2024-05-01T08:45:00,A,1,25.45,51.29,16.87
2024-05-01T08:46:00,A,1,25.99,52.03,16.23
2024-05-01T08:47:00,A,1,25.67,52.02,16.55
